Managers,0.01,0,0.01,0
Professionals,0.04,0.02,0.03,0.03
Associate professionals,0.1,0.09,0.09,0.08
Administrative/clerical staff,0.14,0.1,0.13,0.14
Skilled trades occupations,0.08,0.16,0.08,0.09
Personal services staff,0.14,0.1,0.12,0.14
Sales and customer services staff,0.21,0.25,0.22,0.21
Machine operatives,0.03,0.02,0.05,0.04
Elementary staff,0.2,0.2,0.2,0.23
Don't know,0.04,0.05,0.06,0.04
